title,url,time_added,tags,status
https://caniuse.com/,https://caniuse.com/,1685763331,,unread
The Twelve-Factor App,https://12factor.net/,1711955598,,unread
"Bootstrap · The most popular HTML, CSS, and JS library in the world.",https://getbootstrap.com/,1635309031,,archive
module - What is the difference between include and extend in Ruby? - Stack,https://stackoverflow.com/questions/156362/what-is-the-difference-between-include-and-extend-in-ruby,1696559151,#ruby,unread
japh(r) by Chris Strom: Dart Constant Constructors,https://japhr.blogspot.com/2012/12/dart-constant-constructors.html,1641996761,,archive
background-size - CSS: Cascading Style Sheets | MDN,https://developer.mozilla.org/en-US/docs/Web/CSS/background-size,1634741354,,archive
: The Form element - HTML: HyperText Markup Language | MDN,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/form,1637673557,,archive
background - CSS: Cascading Style Sheets | MDN,https://developer.mozilla.org/en-US/docs/Web/CSS/background,1635261409,,archive
https://developer.mozilla.org/en-US/docs/Web/CSS/text-align,https://developer.mozilla.org/en-US/docs/Web/CSS/text-align,1635236603,,archive
content - CSS: Cascading Style Sheets | MDN,https://developer.mozilla.org/en-US/docs/Web/CSS/content,1634740497,,archive
line-height - CSS: Cascading Style Sheets | MDN,https://developer.mozilla.org/en-US/docs/Web/CSS/line-height,1634656613,,archive
@media - CSS: Cascading Style Sheets | MDN,https://developer.mozilla.org/en-US/docs/Web/CSS/@media,1634774430,,archive
outline - CSS: Cascading Style Sheets | MDN,https://developer.mozilla.org/en-US/docs/Web/CSS/outline,1635261425,,archive
text-indent - CSS: Cascading Style Sheets | MDN,https://developer.mozilla.org/en-US/docs/Web/CSS/text-indent,1634740433,,archive
#397 Action View Walkthrough (pro) - RailsCasts,http://railscasts.com/episodes/397-action-view-walkthrough?autoplay=true,1722474704,rails,unread
Understanding class_eval and instance_eval,https://web.stanford.edu/~ouster/cgi-bin/cs142-winter15/classEval.php,1705752275,class_eval|ruby,unread
JavaScript 教程 | 菜鸟教程,https://www.runoob.com/js/js-tutorial.html,1636503076,,archive
Using media queries - CSS: Cascading Style Sheets | MDN,https://developer.mozilla.org/en-US/docs/Web/CSS/Media_Queries/Using_media_queries,1634774578,,archive
https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_Flexible_Box_Layout,https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_Flexible_Box_Layout,1634608245,,archive
"html - what does mean ""line box"" in css - Stack Overflow",https://stackoverflow.com/questions/32022042/what-does-mean-line-box-in-css,1634083968,,archive
Rails 5 Routes: Scope vs Namespace - Devblast,https://devblast.com/b/rails-5-routes-scope-vs-namespace,1709369365,routing|rails,unread
Preflight request - MDN Web Docs Glossary: Definitions of Web-related terms,https://developer.mozilla.org/en-US/docs/Glossary/Preflight_request,1641222381,,archive
A Deep Dive into CSRF Protection in Rails | by Alex Taylor | Ruby Inside | ,https://medium.com/rubyinside/a-deep-dive-into-csrf-protection-in-rails-19fa0a42c0ef,1715519482,csrf,unread
Intimidated by the Official Rails Guides? Here is the Cure. - Sihui Huang,https://www.sihui.io/how-to-study-the-rails-guides/,1695299276,rails,unread
"jlevy/the-art-of-command-line: Master the command line, in one page",https://github.com/jlevy/the-art-of-command-line#meta,1683552037,shell,unread
Active Record Migrations — Ruby on Rails Guides,https://guides.rubyonrails.org/active_record_migrations.html#generating-migrations,1709131613,,unread
ActionController::Redirecting,https://api.rubyonrails.org/classes/ActionController/Redirecting.html#method-i-redirect_to,1712065234,,unread
How Unicode Works: What Every Developer Needs to Know About Strings and ?,https://deliciousbrains.com/how-unicode-works/,1681263535,unicode,unread
https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_Flow_Layout/Block_and_Inline_Layout_in_Normal_Flow,https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_Flow_Layout/Block_and_Inline_Layout_in_Normal_Flow,1634105983,,archive
GitHub - ziishaned/learn-regex: Learn regex the easy way,https://github.com/ziishaned/learn-regex,1638756072,,archive
flutter - TextField inside of Row causes layout exception: Unable to calcul,https://stackoverflow.com/questions/45986093/textfield-inside-of-row-causes-layout-exception-unable-to-calculate-size,1641462215,,archive
"Flutter Deep Dive, Part 4: “RenderFlex children have non-zero flex…” | by S",https://medium.com/flutter-community/flutter-deep-dive-part-4-renderflex-children-have-non-zero-flex-77734ca0b5c,1641462202,,archive
Flutter Architecture - My Provider Implementation Guide - FilledStacks,https://www.filledstacks.com/post/flutter-architecture-my-provider-implementation-guide/,1639920660,,unread
https://pusher.com/tutorials/clean-architecture-introduction/#acyclic-dependency-principle-adp,https://pusher.com/tutorials/clean-architecture-introduction/#acyclic-dependency-principle-adp,1639711382,,unread
"SwiftUI Tutorial: What's the difference between @State, @ObjectBinding, and",https://www.youtube.com/watch?v=stSB04C4iS4,1642948780,,unread
Clean Architecture and MVVM on iOS | by Oleh Kudinov | OLX Group Engineerin,https://tech.olx.com/clean-architecture-and-mvvm-on-ios-c9d167d9f5b3,1645241257,,unread
https://deerchao.cn/tutorials/regex/regex.htm,https://deerchao.cn/tutorials/regex/regex.htm,1638356750,,archive
CS 251: Cryptocurrencies and Blockchain Technologies,https://cs251.stanford.edu/,1642049431,,unread
flutter - Can't Expand inside Row - Stack Overflow,https://stackoverflow.com/questions/57306058/cant-expand-inside-row,1641462218,,archive
Inline formatting context - CSS: Cascading Style Sheets | MDN,https://developer.mozilla.org/en-US/docs/Web/CSS/Inline_formatting_context,1634084001,,archive
Flutter Under the Hood: Binding. This article continues the topics from… | ,https://medium.com/surfstudio/flutter-under-the-hood-binding-2b0ea65e5314,1642390326,,archive
"node.js - Error: EACCES: permission denied, access '/usr/local/lib/node_mod",https://stackoverflow.com/questions/48910876/error-eacces-permission-denied-access-usr-local-lib-node-modules,1720590659,,unread
https://getpocket.com/explore/item/welcome-to-pocket,https://getpocket.com/explore/item/welcome-to-pocket,1628922264,,archive
BEST HOME Leg Workout | Dumbbells Only - YouTube,https://www.youtube.com/watch?v=c8Hlyu71KcE,1720015083,workout,unread
https://stackoverflow.com/questions/64543714/swiftui-behavior-of-frameheight-nil,https://stackoverflow.com/questions/64543714/swiftui-behavior-of-frameheight-nil,1644766152,,archive
https://youtube.com/watch?v=BOQcSfoz8Uk&feature=share,https://youtube.com/watch?v=BOQcSfoz8Uk&feature=share,1635222873,,archive
WSO2 Deployment Reference architecture on AWS | by Chanaka Fernando | WSO2 ,https://medium.com/wso2-learning/wso2-deployment-reference-architecture-on-aws-885d77cacfe3,1708412295,,unread
Learn SwiftUI in a Swift Way：市面常见SwiftUI教程排雷 | Augix,https://augix.me/archives/10050,1642949046,,archive
Latest Content,https://www.enjoyalgorithms.com/blog/,1691537146,algorithm,unread
vertical-align - CSS: Cascading Style Sheets | MDN,https://developer.mozilla.org/en-US/docs/Web/CSS/vertical-align#vertical_alignment_in_a_line_box,1634083661,,archive
"css - What is the definition of ""the baseline of parent box""? - Stack Overf","https://stackoverflow.com/questions/36193355/what-is-the-definition-of-the-baseline-of-parent-box#:~:text=A%20parent%20baseline%20is%20a%20baseline%20of%20the,align%20inline%20elements.%20Interactive%20version%20of%20this%20answer",1634087708,,archive
What is Web 3.0? (Explained with Animations) - YouTube,https://www.youtube.com/watch?v=nHhAEkG1y2U,1637681157,,unread
史带孝心保父母意外险,http://27241.agency.starrchina.cn/m/insurance/insurance_detail/237388,1636333732,,archive
Linear LINA coin price prediction - Could 5x with ease - YouTube,https://www.youtube.com/watch?v=LqEVcFabj-Q,1638804576,,archive
Mastering Ruby Blocks in Less Than 5 Minutes | Mix &amp; Go,https://mixandgo.com/learn/ruby/blocks,1676169293,ruby,unread
Ruby Splat Operator ?,https://thoughtbot.com/blog/ruby-splat-operator,1721293324,ruby,unread
webview_flutter 2.0.0 | Flutter Package,https://pub.dev/packages/webview_flutter/versions/2.0.0,1642497588,,archive
（可打印execl表）幼师奶爸梳理的生娃攻略第一篇-孕前准备（上） - 知乎,https://zhuanlan.zhihu.com/p/374500464,1651134532,,unread
Ruby Method Parameters And Arguments | Alchemists,https://www.alchemists.io/articles/ruby_method_parameters_and_arguments,1705407545,ruby,unread
OpenTelemetry Distributed Tracing [complete guide],https://uptrace.dev/opentelemetry/distributed-tracing.html,1712498936,otel,unread
Implicit to Explicit: Decoding Ruby's Magical Syntax - Justin Gordon - YouT,https://www.youtube.com/watch?v=rssgWqJq-14,1696989665,ruby,unread
"Heroku Dynos: Sizes, Types, and How Many You Need",https://judoscale.com/guides/how-many-dynos,1716601515,heroku,unread
用Mediapipe Python做单目视觉实时动作捕捉 - 知乎,https://zhuanlan.zhihu.com/p/591176427,1713861099,动作捕捉,unread
Explaining Ruby's Singleton Class (Eigenclass) to confused beginners | Such,https://suchdevblog.com/lessons/ExplainingRubySingletonClass.html#the-singleton-pattern,1716114597,ruby,unread
- Top End Devs,https://topenddevs.com/podcasts/ruby-rogues/episodes/131-rr-how-to-learn,1683544318,how to learn,unread
(83) 付鹏删掉的关于提前还房贷的视频 - YouTube,https://www.youtube.com/watch?v=9gnshVSgi7Y,1677150531,,unread
Levelling up TDD Swift Development with GitHub Copilot | by Steven Curtis |,https://stevenpcurtis.medium.com/levelling-up-tdd-swift-development-with-github-copilot-2f4e8bd97767,1691655448,test,unread
Explaining Ruby's Singleton Class (Eigenclass) to confused beginners | Such,https://suchdevblog.com/lessons/ExplainingRubySingletonClass.html,1696572196,#ruby,unread
https://m.gzxdwx.com/News/qyxw/6045.html,https://m.gzxdwx.com/News/qyxw/6045.html,1679900506,,unread
Ruby学习指南：2022年 9个最佳免费 Ruby 和 Ruby on Rails 课程 - 知乎,https://zhuanlan.zhihu.com/p/576500762,1683433398,ruby,unread
explainshell.com - ls -la | grep a,https://explainshell.com/explain?cmd=ls+-la+%7C+grep+a#,1683549254,shell,unread
Class modifiers | Dart,https://dart.dev/language/class-modifiers,1718936336,,unread
Patterns | Dart,https://dart.dev/language/patterns,1718936306,dart,unread
Ruby's ArgumentError Exception - Exceptional Creatures,https://www.exceptionalcreatures.com/bestiary/ArgumentError,1692110334,ruby,unread
Give `StreamBuilder` ability to be lossless · Issue #112197 · flutter/flutt,https://github.com/flutter/flutter/issues/112197,1685025156,flutter,unread
二手车位交易流程及税费情况（以成都为例） - 知乎,https://zhuanlan.zhihu.com/p/589605820,1687885511,车位,unread
What is the behavior when using both positional and keyword arguments in Ru,https://stackoverflow.com/questions/20633412/what-is-the-behavior-when-using-both-positional-and-keyword-arguments-in-ruby/20634180,1695781121,#ruby,unread
What is the behavior when using both positional and keyword arguments in Ru,https://stackoverflow.com/questions/20633412/what-is-the-behavior-when-using-both-positional-and-keyword-arguments-in-ruby/20634180?utm_source=pocket_saves,1696415969,#ruby,unread
The Complete Guide to Working With Cookies in Rails,https://www.writesoftwarewell.com/how-http-cookies-work-rails/,1721447153,,unread
The Definitive Guide to Rack for Rails Developers,https://www.writesoftwarewell.com/definitive-guide-to-rack/,1714877914,rack,unread
Interactive Fiction Top 50 of All Time (2023 edition) - Details,https://ifdb.org/viewcomp?id=moqx12hlzkitvb73,1717640754,dsl|ifdb,unread
Ruby on Rails: Plural vs Singular Cheatsheet | by Jerry Huang | Medium,https://medium.com/@jhuang9240/ruby-on-rails-plural-vs-singular-cheatsheet-d4b3a2fba573,1701609655,,unread
Creating Multicolumn Indexes in SQL | Atlassian,https://www.atlassian.com/data/sql/multicolumn-indexes,1709368942,database,unread
How respond_to Method Works in Rails,https://www.writesoftwarewell.com/how-respond_to-method-works-rails/,1709370902,rails,unread
一日一技 | Mac 版微信聊天记录如何自动备份至外接硬盘 - 少数派,https://sspai.com/post/86175,1719930995,,unread
Understanding the Rails Rendering Process,https://www.writesoftwarewell.com/rails-rendering-process/,1714467864,rails,unread
